Date,143850.KS,195980.KS,148070.KS,153130.KS
2016-04-18,24125.0,8240.0,120105.0,100465.0
2016-04-19,24400.0,8290.0,120105.0,100470.0
2016-04-20,24410.0,8290.0,120390.0,100470.0
2016-04-21,24595.0,8360.0,120295.0,100485.0
2016-04-22,24355.0,8295.0,120370.0,100495.0
2016-04-25,24390.0,8235.0,120255.0,100495.0
2016-04-26,24345.0,8200.0,120485.0,100505.0
2016-04-27,24340.0,8230.0,120480.0,100515.0
2016-04-28,24285.0,8230.0,120480.0,100520.0
2016-04-29,24190.0,8220.0,120675.0,100535.0
2016-05-02,24090.0,8210.0,120680.0,100530.0
2016-05-03,24235.0,8155.0,120655.0,100550.0
2016-05-04,24065.0,7975.0,120945.0,100560.0
2016-05-09,24075.0,7910.0,120955.0,100565.0
2016-05-10,24135.0,7865.0,120990.0,100585.0
2016-05-11,24305.0,7950.0,121115.0,100590.0
2016-05-12,24180.0,7955.0,121090.0,100600.0
2016-05-13,24015.0,7890.0,121030.0,100595.0
2016-05-16,23990.0,7840.0,121005.0,100590.0
2016-05-17,24200.0,7885.0,120870.0,100595.0
2016-05-18,23940.0,7830.0,120745.0,100585.0
2016-05-19,23880.0,7750.0,120450.0,100590.0
2016-05-20,24010.0,7740.0,120810.0,100595.0
2016-05-23,24015.0,7795.0,120720.0,100605.0
2016-05-24,23950.0,7720.0,120935.0,100605.0
2016-05-25,24400.0,7860.0,120955.0,100605.0
2016-05-26,24440.0,7885.0,120930.0,100615.0
2016-05-27,24530.0,7945.0,120980.0,100620.0
2016-05-30,24625.0,7950.0,120755.0,100625.0
2016-05-31,24630.0,7975.0,120785.0,100625.0
2016-06-01,24550.0,7975.0,121225.0,100635.0
2016-06-02,24565.0,7965.0,121195.0,100655.0
2016-06-03,24685.0,7990.0,121200.0,100665.0
2016-06-07,24750.0,8190.0,121770.0,100670.0
2016-06-08,24735.0,8265.0,121850.0,100685.0
